100,16/04/2023,3-2 6-4,950.0,Approved,202
101,17/04/2023,1-1,25.0,Approved,203
102,17/04/2023,1-1,25.0,Cancelled,201
102,17/04/2023,1-1 4-1,250.0,,201
103,17/04/2023,1-1,25.0,Cancelled,201
103,17/04/2023,1-1 4-1,250.0,,201
118,18/04/2023,4-2 7-1,550.0,Cancelled,203
119,18/04/2023,5-1 7-2 6-3,875.0,Approved,201
120,18/04/2023,2-1 6-1,185.0,Approved,203
121,18/04/2023,2-1 7-1,110.0,Approved,205
122,18/04/2023,3-2,250.0,Approved,205
123,18/04/2023,1-2,50.0,Approved,201
124,18/04/2023,5-2,300.0,Approved,204
125,18/04/2023,3-3,375.0,Cancelled,204
126,18/04/2023,3-2,250.0,Approved,201
127,18/04/2023,2-1,10.0,Approved,201
128,18/04/2023,3-2 7-3,550.0,Approved,201
129,18/04/2023,2-1 3-2,260.0,Approved,201
130,18/04/2023,2-1,10.0,Approved,201
131,18/04/2023,2-1,10.0,Approved,201
132,18/04/2023,1-3,75.0,Approved,0
133,18/04/2023,3-5,625.0,Approved,0
134,18/04/2023,2-2,20.0,Approved,0
135,19/04/2023,7-1 11-1,220.0,Approved,203
136,19/04/2023,4-10 12-5 11-5,4600.0,Approved,203
137,19/04/2023,11-10 9-10,3450.0,Approved,203
138,19/04/2023,12-10 9-12 11-10,7400.0,Approved,203
139,19/04/2023,1-2 6-6,1100.0,Approved,201
140,19/04/2023,11-100,12000.0,Approved,0
